frame,player_id,x,y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
73,1,1177.848388671875,854.872802734375,1161.2149658203125,740.455322265625,1194.48193359375,854.872802734375
74,1,1176.8974609375,855.671630859375,1159.2568359375,741.0267333984375,1194.5380859375,855.671630859375
75,1,1174.363037109375,856.0786743164062,1154.2899169921875,739.1409301757812,1194.4361572265625,856.0786743164062
76,1,1174.94189453125,855.3409423828125,1154.748046875,740.1851806640625,1195.1356201171875,855.3409423828125
77,1,1173.89404296875,859.2213134765625,1153.0125732421875,738.8109741210938,1194.775634765625,859.2213134765625
78,2,441.82928466796875,538.2587890625,429.8711242675781,481.3249816894531,453.7874450683594,538.2587890625
78,1,1174.0360107421875,861.6231079101562,1154.870361328125,740.2373657226562,1193.20166015625,861.6231079101562
79,2,442.0238342285156,537.9262084960938,430.18743896484375,481.9569396972656,453.8602294921875,537.9262084960938
79,1,1173.7874755859375,861.7390747070312,1154.8388671875,742.1058349609375,1192.736083984375,861.7390747070312
80,2,441.1145324707031,539.5794677734375,428.9343566894531,482.3762512207031,453.2947082519531,539.5794677734375
80,1,1165.388671875,841.093505859375,1148.572265625,735.71337890625,1182.2049560546875,841.093505859375
81,2,440.45147705078125,537.9473876953125,428.52294921875,480.1424560546875,452.3800354003906,537.9473876953125
81,1,1173.685546875,862.0213623046875,1155.037109375,752.2587890625,1192.3338623046875,862.0213623046875
82,2,440.4939880371094,536.5732421875,428.36865234375,479.0585632324219,452.61932373046875,536.5732421875
83,2,440.43548583984375,537.0203247070312,428.3969421386719,479.50286865234375,452.4740295410156,537.0203247070312
84,2,440.4262390136719,536.6937255859375,427.71185302734375,478.5645446777344,453.140625,536.6937255859375
85,2,440.0527038574219,539.6331176757812,427.4078063964844,481.4724426269531,452.6976013183594,539.6331176757812
86,2,439.92132568359375,539.5462036132812,427.1203308105469,479.4340515136719,452.7223205566406,539.5462036132812
86,1,1163.13330078125,855.1803588867188,1140.56884765625,735.4945678710938,1185.69775390625,855.1803588867188
87,2,438.97442626953125,539.2952880859375,426.01385498046875,478.5663757324219,451.93499755859375,539.2952880859375
87,1,1159.9146728515625,849.9776000976562,1140.843505859375,734.4428100585938,1178.98583984375,849.9776000976562
88,2,439.7383117675781,538.7283325195312,426.8910827636719,482.17364501953125,452.5855407714844,538.7283325195312
89,2,439.8856201171875,538.6159057617188,426.5624084472656,481.4483642578125,453.2088317871094,538.6159057617188
90,2,439.2561950683594,541.0895385742188,425.72900390625,482.0918884277344,452.78338623046875,541.0895385742188
91,2,438.6181640625,542.7619018554688,426.0368957519531,486.2869567871094,451.1994323730469,542.7619018554688
92,1,1147.327392578125,818.1240234375,1132.76220703125,736.7801513671875,1161.892578125,818.1240234375
92,2,437.6172180175781,540.6390380859375,424.9384460449219,485.49462890625,450.2959899902344,540.6390380859375
93,1,1145.438720703125,815.5880126953125,1129.988525390625,737.224365234375,1160.8890380859375,815.5880126953125
93,2,437.0628967285156,536.5986328125,424.66839599609375,485.969970703125,449.4573974609375,536.5986328125
94,1,1144.496826171875,814.9931640625,1129.196044921875,737.1354370117188,1159.797607421875,814.9931640625
94,2,436.88641357421875,536.7275390625,424.4584655761719,487.27294921875,449.31439208984375,536.7275390625
95,1,1144.043701171875,814.9508666992188,1129.2161865234375,737.8649291992188,1158.8712158203125,814.9508666992188
95,2,437.0164794921875,538.4952392578125,425.78533935546875,487.6970520019531,448.24761962890625,538.4952392578125
96,1,1143.118896484375,812.3096923828125,1128.56005859375,737.86669921875,1157.6778564453125,812.3096923828125
96,2,436.564453125,537.443115234375,424.89788818359375,487.6893310546875,448.23101806640625,537.443115234375
97,1,1142.0860595703125,815.7837524414062,1125.59814453125,738.6088256835938,1158.573974609375,815.7837524414062
97,2,435.9276428222656,534.7001953125,423.77557373046875,488.3694763183594,448.0797119140625,534.7001953125
98,1,1141.034423828125,816.0732421875,1125.2508544921875,737.9461669921875,1156.81787109375,816.0732421875
99,1,1141.5029296875,812.9771118164062,1126.3804931640625,737.9390258789062,1156.625244140625,812.9771118164062
100,1,1139.764892578125,816.2763061523438,1123.8604736328125,736.6389770507812,1155.669189453125,816.2763061523438
101,1,1139.370849609375,814.7583618164062,1123.6158447265625,736.9561157226562,1155.125732421875,814.7583618164062
102,1,1138.965576171875,815.1500244140625,1123.8154296875,736.3458251953125,1154.1156005859375,815.1500244140625
103,1,1138.787109375,814.6148071289062,1123.736328125,736.1061401367188,1153.8377685546875,814.6148071289062
104,1,1138.2762451171875,814.5217895507812,1123.2843017578125,737.0943603515625,1153.2681884765625,814.5217895507812
105,1,1138.22705078125,814.11474609375,1124.071044921875,737.1298828125,1152.3831787109375,814.11474609375
106,1,1136.880126953125,815.7189331054688,1121.63525390625,737.3772583007812,1152.1248779296875,815.7189331054688
107,1,1136.425537109375,816.0435791015625,1120.6656494140625,737.47705078125,1152.1854248046875,816.0435791015625
108,1,1136.300048828125,815.8877563476562,1120.694091796875,738.0173950195312,1151.9058837890625,815.8877563476562
109,1,1135.91357421875,815.6973266601562,1119.933837890625,738.7512817382812,1151.8934326171875,815.6973266601562
110,1,1135.796630859375,815.8386840820312,1119.6474609375,739.1771850585938,1151.9456787109375,815.8386840820312
